Title,Description,Subject,Subject (corporate name),Subject (personal Name),Keyword,Geographic subject,Geographic subject (roadway),Geographic subject (city or populated place),Geographic subject (county),Geographic subject (state),Geographic subject (country),Geographic coordinates,Coverage date,Coverage date (for search),Contributor,Creator,Photographer,Publisher (of the original version),Place of publication (of the original version),Publisher (of the digital version),Date created,Date created (for search),Digitize date,Type,Format,Format (aat),Format (imt),Language,Contributing entity,Identifying number,Part of collection,Part of subcollection,Provenance,Series,Rights,Physical access,Repository name,Repository address,Repository email,Cataloger,Catalog date,Full text,Filename,Catalog state,Cataloger comments,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,Archival file,CONTENTdm file path
Page  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"COLORSLIDE;S: MODERN .ARCHITECTURE  Subjects listed below may be borrowed  in person from THE J.tUSEtnl OF MODERN ART  LIBRARY, 11 W.. 53rd Street, New York 19  Institutions wishing to purohaae slides must address requests to :  MODERN ABCHITECTURE - 2"" x 2"" COLOR SLIDES  By DR. FRED BLOCK  333 color slides in cardboard mounts  Single slides in cardboard mounts, saoh  In lots of 26 and more, eaoh  WRIGHl', FRANK LLOYD - Born 1669  $250.00  1.00  .90  Barnsdall residence. Hollywood, California. 1920.  1. Park front.  2. Living room wing with pool.  3. Same, oloae-up.  4. Music room wing.  6. Entrance to living room terrace.  6. Living room terrace.  7. .Flower bawl, oloae-up.  B. East front.  9. Garden oourt.  10. Stair to roof garden.  Millard residence. Pasadena, California. 1923 .  11. View approaching building.  12. Entrance.  13. View from garden.  14. Vertical wing.  15. West aide and garden terrace.  16. Corner detail .  17. Detail of wall texture.  18. Living room.  Storer  19.  20.  21.  22.  Freeman  23.  24.  25.  26.  27.  28.  29.  residence . Hollywood, California.  Street aide and entrance drive.  Same, frontal view.  Detail of windowa.  Detai 1 of bay.  residence. Hollywood, California .  Furqiture by R. M. Schindler.  South side.  Window detei 1.  Living room .  View window.  Guest roo,m.  Study.  Detail of textile block.  1923.  1924.  Ennis residence. Holl;-.rood, California. 1923.  30. View side.  31. Detail of same.  32. Fore-court.  33. Fore-court, front detail.  34. Corner window dotail.  36. Terrace.  36. North front.  DR. BLOOK COLOR PRODUCTIONS  1309 North Genesee Avenue  Hollywood 46, California. ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/0,0,59.pdfpage,,/p15799coll42/image/59.pdfpage
Page  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2  WRIGHT, FRAUK LLOYD (Cont.)  Ennis residence, cont.  37. Stairhall.  38. Living room.  39. Living room.  40 . Fireplace .  41. Loggia.  Sturges  42.  43.  44.  45.  46.  47.  48.  49.  50.  61.  residence. Brentwood Heights, California.  East front.  Street aide.  Terrace.  Terrace corner, detail.  West front, detail.  Living room, fireplace.  Living room, fireplace wall, close-up.  Living room, dining corner.  Living room, view toward library.  North front.  NEUTRA , RICF.ARD J. - Born 1893  1938.  Neutra Research home, Los Angeles, California. 1932.  101. Lake front.  102. Closed south aide.  103. Entranoe pergola, detail. &gt; .  104. East front and drive entrance.  106. Cork and aluminum stairway.  106. Entry washroom with heat and light mirrors.  107. Aluminum ladder to roof garden.  108. Second floor living quarters, view to lake porch.  109. Second floor living quarters, view from lake porch.  110. Dwnbwaiter, metal-lined drawers sliding in from kitchen-pantry.  111. Same corner, d1m1bwaiter closed, music compartment opened.  112. Lake be.loony as sitting porch.  113. Same transformed to sleeping porch.  114. Patio view toward garden room.  116. Other view toward patio living room.  116. Private patio seen from g~rden room.  117. Dual purpose table lowered -- informal ai tting corner.  118. Dual purpose table raised -- dining bay.  119. Other sitting corner, garden room.  120. Same, transformed into twin beda.  121. Study couoh.  122. Same, transformed into guest bed.  123. Handy laundry.  124. Same, tranaformed into breakfast room.  126. Playroom with upfolding garden front partition.  126. Concealable kitchenette.  127. Children's sun terrace.  Health  129.  130.  132 .  133 .  134.  135.  136.  137.  138.  139.  140.  141.  142.  house, Dr. Lovell. Los Angelea, California. 1928.  View across the valley.  Corner view from lower playground.  Corner detail.  Extensive fenestration and auspended balconies, close-up.  West portion from awimming pool.  View against adjoining hillpark.  Entrance, close-up.  VieW down the living room stair.  Fireplace corner.  Stair leading up from living quarters.  Living quarters seen from stairway.  View windows of living quarters .  View toward library and patio.  ·-= ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/1,1,60.pdfpage,,/p15799coll42/image/60.pdfpage
Page  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",\  I  I  !\  NEtrrRA, RICHARD J. (Cont.}  Leon Baroha re&idenoe. North Hollywood, California. 1936.  143. Overall view from patio.  144. Patio porch.  145. Living room.  James Ward reeidenoe. Los Angeles, California. 1939.  146. View from patio toward eliding doors.  147. Living room, fireplace corner.  146. Kitchen of a 15 ,000 house.  Plywood  149.  150.  151.  152.  153.  house, Roy Maynard Lyndon. Brentwood,  Length view of a dry fabricated house.  Side view of aame.  Its pat~o.  Living room toward dining bay.  Living quarters toward garden.  California.  F.H.A.  154.  156.  156.  157.  156.  Title Vl Houses. Burbank, California. 1941.  John B.  163.  164.  166.  166.  167.  168.  169.  170.  171.  172.  173.  174.  176.  176.  177.  176.  Houses nearing completion, conform with F.H.A. Rules.  Front entrance.  Service entrance.  Living room, sitting oorner.  Vtew into garden patio.  Nesbitt residence. Brentwood, California. 1942.  Built under war restrictions.  View from entrance walk.  Entrano e • /. _  Bedroom window.  Entire garden front.  Foreshortened view from aoutheaat.  Servioe court.  Living room with olosed glass front.  Sue, with opened glaaa front.  Day view from garden into living room.  Same, night view.  Raised study fireplace, visible across desk.  Studr, garden front.  Master bedroom.  Guest room, from guest patio.  Guest room, ldtohenette opened.  Lath house interior.  Josef von Sternberg reaidenoe. San Fernando Valley, California.  182. Overall vl8W of exposed all-metal reaidenoe.  183. Drive entrance.  186. South aide.  191. Patio with full privacy.  192. Living quarters downstairs.  193. Living quarters upstairs.  195. Terrazzo and aluminum stair.  196. Bathroom overlooking roof pool.  1936.  ...  Grace Lewis Miller Desert residence. Palin Springs, California. 1937.  198. Entrance view against the mountains.  199. Distant view.  200. Shaded porch.  201. Close-up of south front.  202. Night view with oooling pool.  2~. Window corner in 11 ving quarters.  206. Fireplace .corner.  206. View window onto desert.  Experiin""ental Gard\n Sohool. Bell, Californb.~. 1935.  209. Overall ~few.  210. Classroom patio.  211. View from classroom into patio.  212. Kindergarten unit.  21~. View over playground and lcindergarten. ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/2,2,61.pdfpage,,/p15799coll42/image/61.pdfpage
Page  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1  4  NEUTRA, RICHARD J. (Cont.)  Ralph Waldo Emerson High Sohool. Westwood, California. 1937.  216. Art department faoing north.  217. Classroom wing with hedged west patios.  218. Aesembly hall.  219. Assembly hall interior.  221• Northeast entranoe detail.  Channel Heights-lfouung Project. San Pedro, California.  222. Aerial view.  223. Distant view from northeast.  224. Two-story houses raoing parlclane.  226. Parklane between one- and two-story units.  226. Two-&tory rCfff houses on driveway.  227. Two-story houses in staggered rows.  228. Two-story houses, oorner detail.·  229. 'two-story houees, type C. (oloae-up)  230. Two-story housee, service entrance.  231. Duplex, olose-up.  232. O""e-atory unit, living room toward dinette.  233. Two-story unit, living room toward dinette.  234. Two-story unit, living room toward park front.  236. Children'• bedroom.  236. Parents' bedroom.  237. Two-story bunk bed in ohildren • s room.  239. Community oenter rear view.  240. Community hall.  241. Play room, day oare center.  242. Garden craft oenter.  243. Market, front view.  244. Inner view of market front.  246. Sales floor of market.  246. Market, oontrol window of manager'• offiob ~  247. Roof monitor in rear of aarket. ,  LESCAZE • WI LU.AM - Born 18 96  1943.  Columbia Broadoaating System, Hollywood, California. 19~8.  (Theater, Broadoasting, Studios and Offioe building)  301.  303.  304.  306.  306.  307.  308.  309.  310.  311.  312.  . 313.  314.  316.  317.  :ne.  319.  320.  321.  322.  323.  324.  326.  326.  327.  View from the east on Sunset Blvd.  View from the west on Sunset Blvd.  Office wing and theatre entrance.  Aroade along patio.  View from eaat aroade into patio.  Offioe wing, frontal viMr.  Offioe wing with sign, oloae•up.  Rear view.  Main lobby, looking toward entrance doors • .  Main lobby, looking toward information b~oth.  Information booth, stairs and elevator doors·.  Information booth, oloae-up •  Steps and entrance to studio c.  Detail of steps and entranoe door.  Manager's private offioe.  Theatre 1een fr0111 balcony.  Theatre looking at balcony.  Theatre, eeating under baloony.  Studio C, aeen from stage.  Studio 3.  -:-. ""  Studio l, showing cantilevered olient•s private booth.  Studio l, view toward oontrol room.  Control room, interior.  Ceiling of studio 1, close-up.  Baloony toyer.  ' . ~ . . .  •  'I  I '  -r ... ·. .. ..  • I  . , .... ' •)  ,_- ., ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/3,3,62.pdfpage,,/p15799coll42/image/62.pdfpage
Page  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARRIS, HARWELL BAKILTON - Born 1903  Edward  401.  402.  403.  de Steiguer residenoe. Pasadena, California.  George  404.  405.  406.  Street front.  View seen from entranoe walk.  Detail.  Bauer reaidenoe.  Garden front.  Living roo111.  Dining alcoTe.  Glendale, California. l9S8.  Byron Pumphrey reaidenae. Loa Angeles, California.  407. Entrance aide.  408. Garden aide.  409. Living room terraae.  410. Corner of aeoond floor baloony.  C~oil Birtoher reaidenoe. Los .Angeles, California.  411. Street aide •  .U2. View aide.  US. Same.  414. Piaroed overhangs shade glass.  416. Corner, detail.  417. General Titnr ot living room.  418. Flreplaoe and oouohea.  419. Library oorner. .  420. View toward terraoe.  421. Dining alcove.  422. Kitchen.  1936.  1939.  1942.  Weston HaTena residence. Berkeley, California. 1941.  (Piaturea by Barris) (427 by Langhorst)  423. View Bide.  424. Balaony, .close-up.  425. South elevation.  426. Horth elnation.  427. Frame aonatruation.  428. View from upper road.  429. Dining room from entrance hall.  430. Dining room.  431. Buffet.  432. Cooking oounter open to the buffet.  433. Cooking oounter and oven.  434. Living room.  436. Owner'• bedroom.  437. Garden court.  4S8. Section.  KOCHER, A. LAWRENCE - Born 1890  FBEY&gt; ALBERT - Born 190S  Office and apartment building. Pala Springs, California. 1935.  501. Street aide with entrance.  502. Detail of seoond floor cantilever and' 11gn.  604. Detail ot side entranoe.  505. Stair to apartment. (night :view) .  506. Patio and passage to offices. (night view)  507. Patio and stair.  508. $ta1r detail.  509. Sal!le.  CLARK, JOHN PORTER - Born 1905  FREY, ALBERT - Born 1903  Frey house. Palm Springs, California. 1941.  $2500 prefabricated house (synthetic materials)  510. General view. ~  511. Entrance oorner, sliding doors and screen.  512. Same. (nigfit view)  613. South aide.  514. Same. (night Tietr)  . .  ..  I •  . . ..,  • l .) ' . .. ' ' .... -:.  ..  ; '  I  1 1~' . , ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/4,4,63.pdfpage,,/p15799coll42/image/63.pdfpage
Page  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1'  6  CLARK, JOHN .PORTEa~FiIBY, ALBERT (Cont.)  Frey house, oont.  516. East aide and terraoe.  517. East aide with kitchen garden.  518. Detail of metal faoing and airoooler.  619. Ceiling and lighting detail.  521. Living room, looking aouthweat.  522. Same. (at night)  623. Kitohen.  Clark house. Palm Springs, California. 1940.  13600 prefabricated houae (aynthetio material•)  624. General new froD\ aouthweet.  626. South aide.  626. General Tiew from aoutheaat.  627. East aide with terrace and baloollf.  628, Hortheaat aid• and second floor entrance.  629. North aide attd approach.  531. Stair and conatruotion detail.  632. Living apaoe under hcuae.  53S. Living room, looking south.  Epiaoopal Churoh. Palm Springe, California. 1942.  634. General View.  536. Interior.  Cahuilla Elementary aohool. Palm Spri~a, California.  5S9. North aide.  64:0. Window detail and work shelter.  541. South aide and entr&nce poroh.  5,2. Cla11room interior.  643. Toilet room with oiroular wash eink.  • • I  1941.  \  We 0reoommend1 ALBERT FREY, ""In Searoh of a Lhing Architecture,"" 1939 - 83. 76.  SCHINDLER, R. Y. - Born 1887  S, Goodwin residence. Horth BollytJood, California.  601. Front.  602. Living room • .  603. Fireplao·e.  s. Buok reeidenoe. Loa .Angeles, California. 193'.  604. Street f'ront.  606. Entranoe detail.  606. Gar den front.  1940.  s. T. P'allc apartments.· Loa .Angeles, California. 1938.  607.  608.  609.  610.  611.  612.  Horth front.  West front.  Entrance ha U.  Living room .•  Dining room.  BedrooDt.  H. Rodakiewicz reaidenoe.  613. W.est front.  Beverly Hills, California. , ' 1937,  615. Living room. ' 616. Fireplaoe.  617. Loggia.  618. Patio.  . ..  . ..  J. ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/5,5,64.pdfpage,,/p15799coll42/image/64.pdfpage
Page  7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,". ' FCHINDIER, R. M., (Cont.) .  Van Patten residenoe. Loa Ange lea. California. 1936.  619. Garden front.  620. Detail.  621. Living room.  622. Fireplaoe.  623. Bookoase.  624. Bathroom.  Ralph G. Walker reaidenoe. Los Angeles, California. 1936.  625 . Front.  626. Living room.  627. Fireplaoe.  R. Harrie reaidenoe. Hollywood, California. 1942.  628. Entranae.  629. South front.  630. Living room.  Anna May Wong residence. Santa Monioa, California. 1939.  6~1. Sleeping room.  632. Writing desk.  633. Mirror wall.  Studio home Hilaire Hiller. Los .A!lgelee, California. 1941.  637. Side view, close-up.  639. Painters workroom.  DAVIDSON, J. R. - Born 1669  4-flat unit and 4-oar garage. Weatwood-Los .A!lgeld,~alifornia. 1940.  Furniture by Hendrick ve.n Keppel  701. Street front.  702. Patio.  703. Living room.  704. Dining end of living room.  706. Bedroom. J .  Medical  706.  707.  709.  710.  711.  712.  Buildini. Loa Angeles, California.  General via.  Reoeption room.  Consultation room.  Treatment room.  Nurses off ioe.  IAboratory.  1941.  Remodeled house for an art oolleotor. Bel Air, California. 1937.  713. Entrance hall with 18th oentury English commode and painting by Miro.  714. Stairoaee. Painting by Modigliano.  715. Living room. Paintings i 15th century Italian Madonna and by Salvador Dali.  716. Dining room. Furniture: 16th oentury En&lhb. Painting by Braque .  717. Dining room. Painting by Miro.  716. Library. Water oolor by Klee.  719. Porch, view into library.  720. Glass enolosed poroh. Sculpture by Branouei.  721. Glaaa enoloaed porch seen frQD. garden at night.  LIND, E. - Born 1907  D. Kennedy residence, Los .6.Dgelea , California. 1939.  601. Street aide, atrai ght frontal via.  602. Street aide, foreahortened view.  803. Street side, entrance detail.  B°'. General view or living room.  E~6. Living room, fireplace.  806. Living room, sitting oorner.  807. Garden side.  808. Garden wi.th barbeoue. ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/6,6,65.pdfpage,,/p15799coll42/image/65.pdfpage
"Block Modern architecture I slides list, ca.1943-1952","Color slide list for Modern architecture I, from Dr. Block Color Productions, Hollywood, California. Lists 333 cardboard mounted 2-inch by 2-inch slides for sale.",Slides (Photography),,,,,,Hollywood; Pasadena; Brentwood Heights; Los Angeles; Brentwood; Burbank; Palm Springs; Bell; San Fernando Valley; San Pedro; Glendale; Berkeley; North Hollywood; Beverly Hills; Santa Monica; Westwood; Bel Air,Los Angeles; Riverside; Alameda,California,USA,,1920/1943,1920; 1923; 1924; 1928; 1932; 1934; 1935; 1936; 1937; 1938; 1939; 1940; 1941; 1942; 1943,,"Block, Fritz, 1889-1955, compiler",,Dr. Block Color Productions,,University of Southern California. Libraries,ca.1943/1952,1943; 1944; 1945; 1946; 1947; 1948; 1949; 1950; 1951; 1952,,texts,7:00 PM,lists (document genres),application/pdf,,University of Southern California,,Architectural Teaching Slide Collection,Fritz Block: Modern architecture I,,,"Dr. Block Color Productions, 1309 North Genesee Avenue, Hollywood, California",Send requests to address or e-mail given. Phone (213) 740-8646,USC Helen Topping Architecture and Fine Arts Library,"Watt Hall, 850 Bloom Walk, B-4, University Park Campus, University of Southern California, Los Angeles, CA 90089-0294",afa@usc.edu,"Shoaf, R. Wayne",11/24/15,,fb-block-modarch-1.pdf,approved,,,6/30/16,6/30/16,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/7,7,66.cpd,Volume2/fb-block-modarch-1.pdf,/p15799coll42/supp/7/index.pdf
Page  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"•  ~ COIDRSLlDES a LIS! HUllBER XV  DR. BIDCK COIDR PRODUCTIONS  T H E N E 11' C 0 N C E P T · 0 'F S P A C E  MODERN .ABCHITECTURE SECOND SERIES  . .  Subjeo~s listed belO'lf . may be borrO'lfed  in person trom THE MUSEUM OF YODEHH .ARr  LIBRARY, 11 Weat 63rd St., NtlW' York 19,  or examined there tor seleotion.  Purohasers must addre~s requests to:  DR. BLOCK COIDR PRODUCTIONS  1309 North _ Genesee Avenue  Hollywood 46, Calirornia. '  THE NEW CONCEPT OF SPACE MODERN .ABCHITECTURE SERIES II  2• x 2• Color Slides  468 Color Slides in Cardboard Younts  Single Color Slides in Cardboard lfounts  In lots or 2~ or more  Photographed by Dr. Fred Blook  • 361.00  ea. 1.00  ea. .90  2"" x 2"" blaok and ~bite tloorplana -- No. 486 to 600 ea. .50  Some years after the first aeries of oolor slides on oontempol'&ry arohiteoture were isaued by  Dr. Block, but in the same year in whioh thia aet appears, he also made available a ntlW' soriea  titled Bomemaldng .!2!. Moderns. Conoerned with the funotional areas of the house or today and  the objects designed for it, this domestio note sounded a truth or architecture in our time.  SuperfioiaJ:!y~oonsidered, our·immediate era ~eems determined to make a popular translation, in  the shapes or handicrafts and machine made produots, or previous viotories in design, bottling  o!d wine, so to speak, in handier packages. Aotually, industrial design, at its beat moments,  represents a mellDW' interlude between war•, conflicts in the creation ot formwhi~h constitute  the essential nature of architeoture.  Both in Europe and Alllerica, the first struggle involved a period or experiment in techniques and  revolutions in form which culminated in atruotural worlca of precise design and balanced tensions.  Reoorded in the -writing• of Nikolaus Pevsner, Philip C. Johnson, Siegfried Giedion and Bruno Zevi,  it is an international and three-dimenaional aohievement wrought by poet engineers. However, the  aecond struggle in pure arahit~oture aenters about the oonoept of spaoe organi&ation and interre_lati~  Aahipe. Ita arohiteotonic image ia still functional but inoreaaingly fluid, its objeotive a  humaniatio blend of internal and external relations governing the aite and the structure, ita me_dium  a teohnical maatery luoid to the po~nt ot transparency. Thia is the direation whioh bestows  order upon the bewildering and abounding variety of architeoture today.  In thia aet, carefully tailored to educational needs, Dr. Blook displays the work·or arohiteota  whose aotivity has been confined largely to California, Oregon, Ari&ona and adjaoent aeotiona.  Every opportunity to interpret by photography and to emphasize by color has been intelligently  exploited by a technioian of wide experienae in the craft of arohiteoture. In the present in_atanoe,  an extraordinary girt for spatial realization of tho thing aeen permits us to study tor  ourselv~• two arts inspired by .a single vision.  THE 'DY CONCEPl' OF SPACE  MODERN ARCHITECTURE  Order No.:  WRIGHT, FRANK LLOYD  Taliesin West, the architeot'a winter home and work plaoe in the Arizona desert. 1938--1942  l Entrance  2 Boulder with Indian pictographs (seoond figure from left inspired the arahiteot•s  sign)  3 View toward workroom, dining room and two-story building  4 View toward two-story building and architeot'a residence  6 Study building, long aide facing workroom  7 Interior or study with architeot•a desk  8 Interior of playhouse l!l.ee.n rrom entrance  9 Same, looking from screen toward sky through opened flaps  10 Playhouse, oorridor with opened flaps  11 Workroom, seen from study, showing formal and spatial relations between both  buildings  12 Corner of workroom seen from study  ... ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/8,8,67.pdfpage,,/p15799coll42/image/67.pdfpage
Page  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wit  2  13 Triangular pool and workroo~  14 South side of workroom  15 Interior of workroom  16 Workroom, north side, .material assembly of .ma.aonry, woodwork and canvas roof  17 Vi611' from second floor of guest house toward chimney and canvas roof  18 Vi611' from roof toward patio  19 Patio seen froM lower level  20 Belltower  21 Library, interior  22 Patio and cottages for apprentioes  23 The arohiteot 1s reaidenoe seen from aeoond floor of gueat house  24 Same, seen from terrace  25 . Same, stairs to passageway and approach to house  26 Same, entrance to garden room  27 Interior or the arohiteot's residenoe, general vi"" of garden room  28 Same, view toward entranoe  29 Same, corner view, looking toward glass wall, terrace and garden court  30 Same, anotper material assembly: masonry wall with glass ribbons, woodwork and  oanvaa roof  31 Garden room oove with fireplaoe  32 Same, another view  33 Interior garden court, glass wall toward oove  34 View from two-story building toward staircase e.nd mountains  36 The arohiteot 1s green garden, viBW"" toward residence  36 Vi6"" from garden r oom terrace toward sleeping quarters and sitting room  Sidn~y Bazett house, Hillsborough, California. 1940  37  38  39  40  41  42  43  44_  46  . ... '46 .  47  48  49  Garden viewr  Same, oloae-ups living room and terrace  Same, closed part of house and entrance  Covered entranoe, poroh, view toward guea~ quarters  Same, vin toward min entrance  Livipg room, loolcing toward fireplace and garden windowo  Se.me, loolcing toward long davenport and bookoaaee  Sa.me, view ,toward dining area, fireplace and k:itohen  Same, feneetrat'ion  LiTing room seen from dining table  View from dining table toward ldtohen  Entry  Combination bed-and-bathroom, looking toward open sleeping porch  Th, V ~ C. Morris store in San FJ.'anoiaoo . 1949  ~O Street aide  61 Same, olose-up or entrance (photo V. C. Morris)  / r •  '  62 Entrance, night view ' · 1  63· Looking through entrance into store  64 Entrance seen from inside  Interior, vi6"" toward circular ramp and tablsware display  Same, view toward display table and silver department  · Sa.ms, start of oiroular ramp  ~nterior ~irrorsd by a black plaatio bowl  Silver dspartlll8nt  View from glass department ~award silver department  -Gllltsa .department  ;v1!""' trom main floor toward hanging disk - flower bowl - ramp and ceiling  Dci~~il or plastic ceiling  Loo-king from upper level toward circular ramp, showing its start and end  A.l:io""j;lier vi.• from upper level toward oiroular ramp and main floor with tableware  1, ~~splay ·  66• ·C-ircular r:a.mp leading down from upper level  67. Display of mer~handise on upper floor  68 Display 'of..i L\:lbmeyer glassware  families, Loa An&elea, Calif.rnia. 1945  houses  .. yard, oonoealed by curved wall  •. t  *¥'¥' ..., -  . 1 ",,,,,11/24/15,11/24/15,http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll42/id/9,9,68.pdfpage,,/p15799coll42/image/68.pdfpage
