Title,Subject,Name.subject,Coverage.geographic,Name.photographer,Year,Description.caption,longitude,latitude,latlong,photos
"Lake Arrowhead winter sports float in the Tournament of Roses Parade, Pasadena, 1930",Parades & processions $z California $z Pasadena|~|Parades & processions $z California $z Pasadena|~|Parades & processions $z California $z Pasadena|~|Floats (Parades) $z California $z Pasadena|~|Floats (Parades) $z California $z Pasadena|~|Floats (Parades) $z California $z Pasadena|~|Entertainment|~|Entertainment|~|Entertainment|~|Events|~|Events|~|Events|~|Arts|~|Arts|~|Arts|~|Culture|~|Culture|~|Culture,"Tournament of Roses|~|Tournament of Roses|~|Tournament of Roses|~|Herring, Moree|~|Herring, Moree|~|Herring, Moree|~|Grace, Eleanor|~|Grace, Eleanor|~|Grace, Eleanor|~|Gaylord, Evelyn|~|Gaylord, Evelyn|~|Gaylord, Evelyn|~|O'Keefe, Madelyn|~|O'Keefe, Madelyn|~|O'Keefe, Madelyn|~|Gaylord, Joan|~|Gaylord, Joan|~|Gaylord, Joan",Pasadena (Calif.)|~|Pasadena (Calif.)|~|Pasadena (Calif.),,1930,"Text from negative sleeve: Tournament of Roses, 1930. nitrates.|~|Text from negative sleeve: Tournament of Roses, 1930. nitrates.|~|Text from negative sleeve: Tournament of Roses, 1930. nitrates.",-118.1601906,34.1454995,"34.1454995, -118.1601906",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_3443.jpg
"Dr. Edwin Wayte, Nina Wayte and California Governor James Rolph at the dedication of new State Hospital buildings, Norwalk, 1932",Governors $x American $z California|~|Governors $x American $z California|~|Governors $x American $z California|~|Mental institutions $z California $z Norwalk|~|Mental institutions $z California $z Norwalk|~|Mental institutions $z California $z Norwalk|~|Building dedications $z California $z Norwalk|~|Building dedications $z California $z Norwalk|~|Building dedications $z California $z Norwalk,"Rolph, James, 1869-1934|~|Rolph, James, 1869-1934|~|Rolph, James, 1869-1934|~|Metropolitan State Hospital (Norwalk, Calif.)|~|Metropolitan State Hospital (Norwalk, Calif.)|~|Metropolitan State Hospital (Norwalk, Calif.)|~|Wayte, Nina Eunice White, $d 1883-1959|~|Wayte, Nina Eunice White, $d 1883-1959|~|Wayte, Nina Eunice White, $d 1883-1959|~|Wayte, Edwin, $d 1875-1949|~|Wayte, Edwin, $d 1875-1949|~|Wayte, Edwin, $d 1875-1949",Norwalk (Calif.)|~|Norwalk (Calif.)|~|Norwalk (Calif.),,1932,"Text from negative sleeve: Wayte, Edwin Dr. 1930.|~|Text from negative sleeve: Wayte, Edwin Dr. 1930.|~|Text from negative sleeve: Wayte, Edwin Dr. 1930.",-118.070098,33.92719,"33.92719, -118.070098",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_4290.jpg
"Unidentified man and woman at the residence of William F. Gettle, kidnapping victim, Beverly Hills, 1934",Kidnappings $z California|~|Kidnappings $z California|~|Kidnappings $z California,"Gettle, William F., $d 1887-1941|~|Gettle, William F., $d 1887-1941|~|Gettle, William F., $d 1887-1941",Beverly Hills (Calif.)|~|Beverly Hills (Calif.)|~|Beverly Hills (Calif.),,1934,,118.416634,34.072519,"34.072519, 118.416634",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10369.jpg
"Jack Wilkinson Smith in front of a large landscape canvas at his studio, Alhambra, 1935",Landscape paintings |~|Landscape paintings |~|Landscape paintings |~|Painters (Artists) $x American $z California $z Alhambra|~|Painters (Artists) $x American $z California $z Alhambra|~|Painters (Artists) $x American $z California $z Alhambra,"Smith, Jack Wilkinson, $d 1873-1949|~|Smith, Jack Wilkinson, $d 1873-1949|~|Smith, Jack Wilkinson, $d 1873-1949",Alhambra (Calif.)|~|Alhambra (Calif.)|~|Alhambra (Calif.),,1935,,-118.114748,34.103098,"34.103098, -118.114748",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10926.jpg
"Aurelio Jose Barreras, part of Pulitzer Prize winning team, is poured champagne as fellow winners Noel Greenwood (directly left of Barreras) and Nancy Rivera (center, with glasses) watch, 1984 .",Celebrations--California--Los Angeles County|~|Celebrations--California--Los Angeles County|~|Celebrations--California--Los Angeles County|~|Journalists--United States|~|Journalists--United States|~|Journalists--United States|~|Pulitzer Prizes|~|Pulitzer Prizes|~|Pulitzer Prizes|~|Lifestyle|~|Lifestyle|~|Lifestyle|~|People|~|People|~|People|~|Media|~|Media|~|Media,,"Civic Center (Los Angeles, Calif.)|~|Civic Center (Los Angeles, Calif.)|~|Civic Center (Los Angeles, Calif.)","Armstrong, Larry|~|Armstrong, Larry|~|Armstrong, Larry|~|Friedman, Gary|~|Friedman, Gary|~|Friedman, Gary",1984,,-118.2452381,34.05289054,"34.05289054, -118.2452381",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0015qpm5-1-thumbnail.jpg
"Eleanor Roosevelt with Mayris Chaney and a reporter at Central Station during a visit, Los Angeles, 1935",Arrivals & departures $x American $z California $z Los Angeles|~|Arrivals & departures $x American $z California $z Los Angeles|~|Arrivals & departures $x American $z California $z Los Angeles|~|Presidents' spouses $z United States|~|Presidents' spouses $z United States|~|Presidents' spouses $z United States|~|Reporters $x American $z California $z Los Angeles|~|Reporters $x American $z California $z Los Angeles|~|Reporters $x American $z California $z Los Angeles,"Roosevelt, Eleanor, 1884-1962|~|Roosevelt, Eleanor, 1884-1962|~|Roosevelt, Eleanor, 1884-1962|~|Martin, Mayris|~|Martin, Mayris|~|Martin, Mayris",Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1935,Text from negative sleeve: President and Mrs. Franklin D. Roosevelt at S. P. Station. 10/1/35. 2349. [stamped:] Oct 3 1935.|~|Text from negative sleeve: President and Mrs. Franklin D. Roosevelt at S. P. Station. 10/1/35. 2349. [stamped:] Oct 3 1935.|~|Text from negative sleeve: President and Mrs. Franklin D. Roosevelt at S. P. Station. 10/1/35. 2349. [stamped:] Oct 3 1935.,-118.2394,34.0423,"34.0423, -118.2394",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_8787.jpg
"Elks Lodge, Santa Barbara, [1926-1930?]",,"Elks (Fraternal order). Lodge No. 613 (Santa Barbara, Calif.)|~|Elks (Fraternal order). Lodge No. 613 (Santa Barbara, Calif.)|~|Elks (Fraternal order). Lodge No. 613 (Santa Barbara, Calif.)",Santa Barbara (Calif.)|~|Santa Barbara (Calif.)|~|Santa Barbara (Calif.),,1926,"Text from nitrate negative sleeve: California, Santa Barbara, buildings|~|Handwritten at edge of negative: Elks Club Bldg A|~|Text from nitrate negative sleeve: California, Santa Barbara, buildings|~|Handwritten at edge of negative: Elks Club Bldg A|~|Text from nitrate negative sleeve: California, Santa Barbara, buildings|~|Handwritten at edge of negative: Elks Club Bldg A",-119.703353,34.422381,"34.422381, -119.703353",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0716.jpg
"L.M. Giannini, president of Bank of America receives Financial Writers' Association Award, 1950.",Award presentations--California--Los Angeles|~|Award presentations--California--Los Angeles|~|Award presentations--California--Los Angeles|~|Banks and banking--California--Los Angeles County|~|Banks and banking--California--Los Angeles County|~|Banks and banking--California--Los Angeles County|~|Journalists--United States|~|Journalists--United States|~|Journalists--United States|~|Executives--United States|~|Executives--United States|~|Executives--United States|~|People|~|People|~|People|~|Business|~|Business|~|Business,"Giannini, Lawrence Mario|~|Giannini, Lawrence Mario|~|Giannini, Lawrence Mario","Financial District (Los Angeles, Calif.)|~|Financial District (Los Angeles, Calif.)|~|Financial District (Los Angeles, Calif.)",,1950,"HONORED - L.M. Giannini, president of Bank of America, left, receives scroll from J.W. Ward, Financial Writers' president.|~|HONORED - L.M. Giannini, president of Bank of America, left, receives scroll from J.W. Ward, Financial Writers' president.|~|HONORED - L.M. Giannini, president of Bank of America, left, receives scroll from J.W. Ward, Financial Writers' president.",-118.2511148,34.04524337,"34.04524337, -118.2511148",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz00162rt4-1-thumbnail.jpg
"Stub Allison, assistant coach of the Golden Bears, watches during a match with the USC Trojans at the Coliseum, Los Angeles, 1934",Football $z California $z Los Angeles|~|Football $z California $z Los Angeles|~|Football $z California $z Los Angeles,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)|~|Los Angeles Memorial Coliseum (Los Angeles, Calif.)|~|Los Angeles Memorial Coliseum (Los Angeles, Calif.)|~|Southern California Trojans (Football team)|~|Southern California Trojans (Football team)|~|Southern California Trojans (Football team)|~|Allison, Stub, $d 1892-1961|~|Allison, Stub, $d 1892-1961|~|Allison, Stub, $d 1892-1961|~|California Golden Bears (Football team)|~|California Golden Bears (Football team)|~|California Golden Bears (Football team)",Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1934,,-118.28825,34.013988,"34.013988, -118.28825",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10403.jpg
"Nina Saemundsson working on her statue of Prometheus Bringing Fire to Earth in her studio, Los Angeles, 1934",Sculpture $z California $z Los Angeles|~|Sculpture $z California $z Los Angeles|~|Sculpture $z California $z Los Angeles|~|Public sculpture $z California $z Los Angeles|~|Public sculpture $z California $z Los Angeles|~|Public sculpture $z California $z Los Angeles|~|Sculptors $x Icelandic $z California $z Los Angeles|~|Sculptors $x Icelandic $z California $z Los Angeles|~|Sculptors $x Icelandic $z California $z Los Angeles,Public Works of Art Project (U.S.)|~|Public Works of Art Project (U.S.)|~|Public Works of Art Project (U.S.),Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1934,"Text from negative sleeve: Saemundsson, Nina. Sculptor, 1934.|~|Text from negative sleeve: Saemundsson, Nina. Sculptor, 1934.|~|Text from negative sleeve: Saemundsson, Nina. Sculptor, 1934.",-118.356485,34.131997,"34.131997, -118.356485",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_11496.jpg
